Supplier,Launch Markets,Market Tags
AE Solar,"Global (EU, AUS, SEA)","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Aiko Solar,"Global (EU, AUS, SEA)","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
AlphaESS,"Europe, SEA, AUS","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Anker Solix,"US, EU, JP","US, UK, DE, NL, FR"
BYD,Global,"US, UK, DE, FR, PL, RO, AUS, SG, MY, PH, ID, TH, VN, UAE"
CATL,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
CRRC,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
DAS Solar,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Deye,"Europe, SEA, AUS","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Dyness,"Global (EU, AUS, SEA)","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
EGing,"Global (EU, AUS, SEA)","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Emporia,US,US
Enphase,"Global (US, EU, AUS)","US, DE, FR, BE, NL, PL, RO, AUS, UK"
EVE Energy,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Fluence,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Fox ESS,"EU, AUS, SEA","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Fronius,"Global (EU, US, AUS)","US, DE, FR, BE, NL, PL, RO, AUS, UK"
GoodWe,"Global (EU, AUS, SEA)","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Gotion Hightech,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
